cluster_id,topic_label,mechanism,observed,expected,topic_total,mech_total,odds_ratio,log2_or_haldane,p_value,direction,q_value,significant
25,phytochemistry pharmacology / pharmacological activities / p,organ_toxicity_modulation,3,0.51,10,88,8.284033613445379,3.165,0.011620303439258217,enriched,0.08934051475377745,False
9,pxr cyp / pxr-mediated / receptor pxr,synergistic_efficacy,0,4.82,46,182,0.0,-3.49,0.011867181380143872,depleted,0.09006886380827145,False
12,ckd / chronic kidney / kidney injury,CYP_inhibition,1,6.01,20,522,0.12092130518234165,-2.501,0.01228272940643438,depleted,0.09204273175454625,False
24,inhibition ugt / inhibited ugt / ugt isoforms,absorption_alteration,0,4.83,100,84,0.0,-3.45,0.013219203120286158,depleted,0.09782210309011756,False
17,hepatoprotective / hepatotoxicity / liver injury,synergistic_efficacy,5,12.88,123,182,0.34424973666570907,-1.411,0.01366593031387792,depleted,0.09987939192365097,False
4,neuroprotective / pharmacology / neuroprotective effects,CYP_inhibition,2,7.51,25,522,0.19949832775919732,-2.035,0.014254608120703664,depleted,0.1029113171641045,False
9,pxr cyp / pxr-mediated / receptor pxr,signaling_pathway_modulation,6,2.06,46,78,3.375,1.843,0.015007305428950605,enriched,0.10704005799926214,False
35,pharmacokinetic parameters / pharmacokinetic / oral administ,synergistic_efficacy,0,4.19,40,182,0.0,-3.285,0.017709553238582188,depleted,0.12390172347701581,False
33,herb-drug interactions / herb-drug / pharmacokinetic interac,synergistic_efficacy,0,4.29,41,182,0.0,-3.321,0.01779374486895076,depleted,0.12390172347701581,False
24,inhibition ugt / inhibited ugt / ugt isoforms,P-gp_inhibition,1,6.16,100,107,0.14598818372403277,-2.205,0.018108361322190687,depleted,0.12390172347701581,False
16,disease nafld / treatment nafld / nafld,signaling_pathway_modulation,2,0.22,5,78,14.535087719298245,3.952,0.01820853030827766,enriched,0.12390172347701581,False
10,hormone / testosterone / estrogenic,CYP_inhibition,1,5.41,18,522,0.13537315117985774,-2.343,0.019621005247119176,depleted,0.1297879473116295,False
27,metabolites / pharmacokinetic / pharmacokinetics,CYP_inhibition,1,5.41,18,522,0.13537315117985774,-2.343,0.019621005247119176,depleted,0.1297879473116295,False
11,anticancer / chemotherapy / cancer,transporter_modulation,9,17.57,332,92,0.44414189264799137,-1.103,0.019731275773727457,depleted,0.1297879473116295,False
14,cardiovascular diseases / treatment cardiovascular / herb-dr,CYP_inhibition,5,11.71,39,522,0.33621572420070545,-1.457,0.020203566541248788,depleted,0.1314341911254866,False
24,inhibition ugt / inhibited ugt / ugt isoforms,signaling_pathway_modulation,0,4.49,100,78,0.0,-3.338,0.020707843378157363,depleted,0.13325047043336044,False
24,inhibition ugt / inhibited ugt / ugt isoforms,CYP_induction,5,12.08,100,210,0.3679075738125802,-1.316,0.025534899699141255,depleted,0.1625447378698024,False
14,cardiovascular diseases / treatment cardiovascular / herb-dr,P-gp_inhibition,6,2.4,39,107,2.8766876687668765,1.612,0.02920485736247475,enriched,0.18392846338920268,False
14,cardiovascular diseases / treatment cardiovascular / herb-dr,receptor_antagonism,3,0.7,39,31,4.973214285714286,2.492,0.03043191244071213,enriched,0.18963886489370085,False
34,metabolites / oral administration / pharmacokinetic,CYP_inhibition,1,5.11,17,522,0.14395393474088292,-2.257,0.03114216937048036,depleted,0.19204337778462888,False
8,atorvastatin / simvastatin / losartan,CYP_inhibition,14,8.41,28,522,2.3661417322834644,1.242,0.03501026226470036,enriched,0.2136708789763156,False
15,gut microbiome / gut microbiota / microbiome,signaling_pathway_modulation,2,0.31,7,78,8.710526315789474,3.298,0.03606403129279113,enriched,0.21785618903400356,False
33,herb-drug interactions / herb-drug / pharmacokinetic interac,P-gp_inhibition,6,2.52,41,107,2.708910891089109,1.526,0.03643277149281746,enriched,0.21786061337119128,False
8,atorvastatin / simvastatin / losartan,CYP_induction,0,3.38,28,210,0.0,-2.999,0.0407228934921466,depleted,0.2368510360918559,False
8,atorvastatin / simvastatin / losartan,receptor_synergism,0,3.38,28,210,0.0,-2.999,0.0407228934921466,depleted,0.2368510360918559,False
13,drug delivery / bioavailability / nanocarriers,CYP_inhibition,0,3.3,11,522,0.0,-3.317,0.040808793380691384,depleted,0.2368510360918559,False
17,hepatoprotective / hepatotoxicity / liver injury,CYP_inhibition,27,36.94,123,522,0.6363636363636364,-0.634,0.04178517993394561,depleted,0.2398592861116695,False
5,antidepressants / antidepressant / wort sjw,receptor_synergism,0,3.62,30,210,0.0,-3.099,0.042137442154752756,depleted,0.2398592861116695,False
23,antimicrobial / antibiotics / antibacterial,transporter_modulation,0,3.39,64,92,0.0,-2.915,0.04612722881845002,depleted,0.2600697091478325,False
11,anticancer / chemotherapy / cancer,antagonistic_efficacy,4,1.53,332,8,4.274390243902439,2.094,0.04801308597865142,enriched,0.2674037189593797,False
36,phytopharmaceutical / herb-drug / ayurveda,absorption_alteration,1,0.05,1,84,inf,5.893,0.04833141542002302,enriched,0.2674037189593797,False
23,antimicrobial / antibiotics / antibacterial,receptor_synergism,13,7.73,64,210,1.9111177465910223,0.972,0.0492357921092471,enriched,0.26988508267291,False
20,cancer / network pharmacology / pathways,CYP_inhibition,1,4.81,16,522,0.15367882277671147,-2.165,0.05075910431132731,depleted,0.27568247479179603,False
31,drug interactions / herb-drug interactions / drug interactio,CYP_inhibition,7,3.6,12,522,3.292038834951456,1.68,0.051842282968857914,enriched,0.2790057410687626,False
21,arthritis / pharmacology / network pharmacology,receptor_antagonism,1,0.05,3,31,28.416666666666668,5.068,0.052590751654501895,enriched,0.2804840088240101,False
35,pharmacokinetic parameters / pharmacokinetic / oral administ,transporter_modulation,5,2.12,40,92,2.645320197044335,1.513,0.05651863370863386,enriched,0.2987413496027789,False
17,hepatoprotective / hepatotoxicity / liver injury,UGT_inhibition,1,5.02,123,71,0.18091334894613584,-1.897,0.057221929562301585,depleted,0.2997821442555977,False
5,antidepressants / antidepressant / wort sjw,synergistic_efficacy,0,3.14,30,182,0.0,-2.866,0.06617170111764292,depleted,0.34131253216175533,False
1,tacrolimus / cyclosporine / immunosuppressant,receptor_synergism,0,3.26,27,210,0.0,-2.947,0.06630226553817882,depleted,0.34131253216175533,False
35,pharmacokinetic parameters / pharmacokinetic / oral administ,UGT_induction,1,0.07,40,3,21.743589743589745,4.688,0.06750595992900664,enriched,0.34451317481010285,False
2,antidiabetic / herb-drug / hypoglycemic,organ_toxicity_modulation,0,2.99,59,88,0.0,-2.726,0.07084559835505438,depleted,0.35440296531150994,False
23,antimicrobial / antibiotics / antibacterial,absorption_alteration,0,3.09,64,84,0.0,-2.777,0.07121374813316855,depleted,0.35440296531150994,False
20,cancer / network pharmacology / pathways,antagonistic_efficacy,1,0.07,16,8,16.333333333333332,4.468,0.07145746755489135,enriched,0.35440296531150994,False
28,medicinal plants / anxiolytic / antiepileptic drugs,P-gp_inhibition,0,3.2,52,107,0.0,-2.837,0.07183843891449526,depleted,0.35440296531150994,False
23,antimicrobial / antibiotics / antibacterial,organ_toxicity_modulation,0,3.24,64,88,0.0,-2.847,0.07330421328062167,depleted,0.3586454071250251,False
14,cardiovascular diseases / treatment cardiovascular / herb-dr,CYP_induction,1,4.71,39,210,0.18761017375975825,-1.851,0.07831037669492422,depleted,0.37999789347045193,False
35,pharmacokinetic parameters / pharmacokinetic / oral administ,CYP_induction,1,4.83,40,210,0.18267697215065637,-1.889,0.0801756620538586,depleted,0.3823220454292368,False
35,pharmacokinetic parameters / pharmacokinetic / oral administ,receptor_synergism,1,4.83,40,210,0.18267697215065637,-1.889,0.0801756620538586,depleted,0.3823220454292368,False
25,phytochemistry pharmacology / pharmacological activities / p,absorption_alteration,2,0.48,10,84,5.0182926829268295,2.553,0.08072678324097061,enriched,0.3823220454292368,False
34,metabolites / oral administration / pharmacokinetic,P-gp_inhibition,3,1.05,17,107,3.331730769230769,1.902,0.08214711457370155,enriched,0.3859610462510422,False
6,warfarin / patients warfarin / anticoagulants,absorption_alteration,4,1.69,35,84,2.617741935483871,1.527,0.08503677423730621,enriched,0.3963918925077581,False
19,pharmacology / network pharmacology / docking,receptor_antagonism,1,0.09,5,31,14.191666666666666,4.219,0.08615343023085298,enriched,0.398459614817695,False
