cluster_id,n_docs,top_keybert_15,top_ctfidf_15,top_author_kw_10,exemplar_title_1,exemplar_title_2,exemplar_title_3
4,172,neuroprotective | pharmacology | neuroprotective effects | neurodegenerative | antidepressant-like | antidepressant | donepezil | huperzine | alzheimer disease | bdnf | alzheimer | neuroinflammation | pathways | depression | network pharmacology,alzheimer disease | alzheimer | depression | targets | donepezil | network | neuroprotective | parkinson | cognitive | parkinson disease | neurodegenerative | memory | network pharmacology | antidepressant | molecular,alzheimer's disease | network pharmacology | depression | neuroprotection | parkinson's disease | molecular docking | alzheimer’s disease | pharmacokinetics | traditional chinese medicine | natural products,Pharmacological mechanisms of puerarin in the treatment of Parkinson's disease: An overview,"Tianma Gouteng Yin, a Traditional Chinese Medicine decoction, exerts neuroprotective effects in animal and cel","Neuroprotective Herbal Remedies: Efficacy, Safety and Clinical Perspectives"
25,156,phytochemistry pharmacology | pharmacological activities | phytochemical | phytochemistry | alkaloids | pharmacology | uses phytochemistry | pharmacological effects | toxicology | comprehensive | pharmacokinetics | crp | traditional uses | science | aconitum,phytochemistry | phytochemistry pharmacology | aconitum | traditional uses | terrestris | pharmacokinetics | uses phytochemistry | genus | pharmacology | toxicology | cassia | pharmacological activities | tribulus terrestris | uses | alkaloids,pharmacology | phytochemistry | pharmacokinetics | toxicity | toxicology | anti-inflammatory | ethnopharmacology | pharmacological activities | traditional chinese medicine | detoxification,Comparative analysis of six aconitine-type alkaloids in decocting extracts between the different processed Fuz,"Exploration of Osmanthus fragrans Lour.'s composition, nutraceutical functions and applications","Pinellia genus: A systematic review of active ingredients, pharmacological effects and action mechanism, toxic"
24,151,inhibition ugt | inhibited ugt | ugt isoforms | ugt activity | udp-glucuronosyltransferases ugts | ugt enzymes | glucuronidation | udp-glucuronosyltransferase ugt | herb-drug | ginsenosides | recombinant ugt | udp-glucuronosyltransferases | liver microsomes | udp-glucuronosyltransferase | activity ugt,ugt | ugt ugt | ugts | glucuronidation | ugt isoforms | udp-glucuronosyltransferases | inhibition ugt | isoforms | udp-glucuronosyltransferase | microsomes | udp-glucuronosyltransferases ugts | inhibition kinetic | inhibited ugt | liver microsomes | catalyzed,herb-drug interaction | udp-glucuronosyltransferases (ugts) | cytochrome p450 | pharmacokinetics | udp-glucuronosyltransferases | inhibition | udp-glucuronosyltransferase | glucuronidation | licorice | interaction,Machine learning and structure-based modeling for the prediction of UDP-glucuronosyltransferase inhibition,Inhibitory Effect of Hesperetin and Naringenin on Human UDP-Glucuronosyltransferase Enzymes: Implications for ,In Vitro Comparative Study of the Inhibitory Effects of Mangiferin and Its Aglycone Norathyriol towards UDP-Gl
37,147,herbal supplements | herbal products | herbal drugs | medicinal products | herbal remedies | traditional drugs | supplements | dietary supplements | remedies | dietary | supplement | alternative | physicians | care | cam,supplements | eating | dietary | eating disorders | dietary supplements | essiac | herbal products | cam | supplement | remedies | athletes | complementary | herbal remedies | massage | anxiety,herbal medicine | toxicity | dietary supplements | phytotherapy | complementary medicine | medicinal plants | drug interactions | safety | medicine | herbal,Cogent note on raised safety concern on concurrent uses of herbal formulations,Clinical approach to clinical herbal toxicity.,Herbal supplements. Risks to your health.
28,139,medicinal plants | anxiolytic | antiepileptic drugs | antiepileptic | aeds | antinociception | anticonvulsant | sleep | gabaergic | pain | antinociceptive | anticonvulsant activity | flumazenil | depression | epilepsy,morphine | anticonvulsant | epilepsy | mice | sleep | seizures | anxiety | aeds | yokukansan | seizure | pain | depression | anxiolytic | antinociceptive | antinociception,depression | anxiety | epilepsy | herbal medicine | medicinal plants | antinociception | synergism | herb-drug interactions | anti-inflammatory | diazepam,Silexan in anxiety disorders: Clinical data and pharmacological background,Clinical applications of herbal medicines for anxiety and insomnia; targeting patients with bipolar disorder,An orally administered lavandula oil preparation (Silexan) for anxiety disorder and related conditions: An evi
0,131,biosynthesis | biosynthetic pathway | biosynthetic | involved biosynthesis | genes | transcriptome analysis | gene | triterpenoid | genes involved | transcriptome | sequencing | differentially expressed | synthase | candidate genes | accumulation,genes | biosynthesis | transcriptome | gene | biosynthetic | genome | biosynthetic pathway | genes involved | candidate genes | assembly | assembled | tanshinones | differentially | triterpenoid | roots,transcriptome | biosynthesis | gene expression | metabolomics | salvia miltiorrhiza | traditional chinese medicine | transcriptomics | biosynthetic pathway | flavonoid | rna-seq,Full-length sequencing of ginkgo transcriptomes for an in-depth understanding of flavonoid and terpenoid trila,The chromosome‐scale high‐quality genome assembly of <i>Panax notoginseng</i> provides insight into dencichine,An efficient approach to finding Siraitia grosvenorii triterpene biosynthetic genes by RNA-seq and digital gen
35,127,pharmacokinetic parameters | pharmacokinetic | oral administration | pharmacokinetics | alkaloids | tcm | berberine | intestinal absorption | absorption paeoniflorin | intestinal | glycyrrhizic acid | glycyrrhizic | zzhpd | paeoniflorin | rat,pharmacokinetic | absorption | pharmacokinetics | plasma | rats | alkaloids | paeoniflorin | coptidis | rhizoma coptidis | rhizoma | compatibility | rat | berberine | intestinal | sinomenine,pharmacokinetics | berberine | intestinal absorption | paeoniflorin | lc-ms/ms | traditional chinese medicine | absorption | corynoline | alkaloids | coptidis rhizoma,A study of pharmacokinetic interactions among co-existing ingredients in Viscum coloratum after intravenous ad,Determination and pharmacokinetic comparisons of atractylodin after oral administration of crude and processed,Research progress on current pharmacokinetic evaluation of Chinese herbal medicines
20,126,cancer | network pharmacology | pathways | pharmacology | crc | molecular | genes | docking | molecular docking | hcc | cki | peptic | ppi | signaling | signaling pathway,targets | network | cancer | genes | network pharmacology | molecular | gastric | pylori | pharmacology | hcc | signaling | pathways | docking | kegg | crc,network pharmacology | molecular docking | traditional chinese medicine | colorectal cancer | pharmacology | lung cancer | network | gastric cancer | hepatocellular carcinoma | molecular dynamics simulation,Prunella vulgaris: A potential molecule for the treatment of hepatocellular carcinoma,Interpreting the Molecular Mechanisms of Yinchenhao Decoction on Hepatocellular Carcinoma through Absorbed Com,Network pharmacology- and molecular docking-based approaches to unveil the pharmacological mechanisms of dihyd
22,124,network pharmacology | pharmacology molecular | pharmacology | pathways | potential targets | chd | key targets | molecular | atherosclerosis | ich | tnf | stroke | docking | molecular docking | signaling pathway,targets | network | network pharmacology | molecular | pharmacology | genes | docking | molecular docking | signaling | pathways | enrichment | kegg | target | database | core,network pharmacology | molecular docking | atherosclerosis | traditional chinese medicine | mechanism | molecular mechanism | bioinformatics | psoriasis | metabolomics | coronary heart disease,Protection against peripheral artery disease injury by Ruan Jian Qing Mai formula via metabolic programming,"Multi-omics analyses, cell experiments, and network pharmacology tools identified key proteins and candidate d",Improvement effects of a novel Chinese herbal formula in imiquimod and IL-23-stimulated mouse models of psoria
31,111,drug interactions | herb-drug interactions | drug interaction | herb-drug | adverse drug | conventional drugs | medications | herbal products | use herbal | prescription | mdma | cannabis | thc | phenytoin | venlafaxine,cannabis | herb-drug | herb-drug interactions | drug interactions | dis | marijuana | case | venlafaxine | procainamide | reports | inhaled | khat | phenytoin | wort | case report,pharmacokinetics | herb-drug interaction | herb-drug interactions | interactions | interaction | cannabis | drug interactions | p-glycoprotein | cytochrome p450 | herb-drug,Herb-drug interactions: A short review on central and peripheral nervous system drugs,An example of herbal drug interactions in the community.,An introduction to cannabis and the endocannabinoid system
3,108,drug interactions | antiretroviral drugs | antiretroviral | antiretrovirals | antiretroviral therapy | hiv | hiv-infected | anti-hiv | aids | pharmacokinetic | treatment hiv | nevirapine | nhps | hiv aids | azt,hiv | antiretroviral | antiretroviral therapy | aids | hiv aids | antiretroviral drugs | frutescens | antiretrovirals | nevirapine | art | highly active | protease | african | sutherlandia | hiv-infected,hiv | pharmacokinetics | drug interactions | herb-drug interactions | hiv/aids | antiretroviral | herb-drug interaction | antiretroviral therapy | aids | human immunodeficiency virus,Advances of research on anti-HIV agents from traditional Chinese herbs.,Pharmacokinetic interactions between antiretroviral drugs and herbal medicines,Drug interactions and anti-HIV therapy.
33,103,herb-drug interactions | herb-drug | pharmacokinetic interactions | pharmacokinetic | pharmacokinetics | ibuprofen | celecoxib | curcumin | indinavir | imipenem | tramadol | fexofenadine | repaglinide | transporters | ciprofloxacin,pharmacokinetic | herb-drug | rats | pharmacokinetics | herb-drug interactions | ibuprofen | auc | plasma | daclatasvir | sildenafil | curcumin | pip | absorption | indinavir | cip,pharmacokinetics | herb-drug interaction | p-glycoprotein | interaction | metabolism | herb-drug interactions | cytochrome p450 | curcumin | herbal medicines | uplc-ms/ms,Effect of rutin on pharmacokinetic modulation of diclofenac in rats,The pharmacokinetic study on the interaction between nobiletin and anemarsaponin BII in vivo and in vitro,Effect of quercetin on the pharmacokinetics of selexipag and its active metabolite in beagles
23,100,antimicrobial | antibiotics | antibacterial | antibiotic | antibacterial activity | antifungal | aureus | mrsa | isolates | methicillin-resistant | bacteria | staphylococcus | staphylococcus aureus | resistant strains | methicillin-resistant staphylococcus,aureus | antibiotics | mrsa | mic | staphylococcus | staphylococcus aureus | antibacterial | strains | bacteria | synergistic | mics | isolates | resistant | antibacterial activity | coli,synergism | plant extracts | antibacterial activity | antibiotic resistance | interaction | synergy | antimicrobial activity | herb-drug interaction | essential oil | biofilm,Synergistic antibacterial activity of baicalin in combination with oxacillin sodium against methicillin-resist,New approach to overcoming antimicrobial resistance of Staphylococcus aureus by combining Guanghuoxiang (Herba,Isojacareubin from the Chinese herb Hypericum japonicum: potent antibacterial and synergistic effects on clini
12,99,ckd | chronic kidney | kidney injury | kidney | kidney disease | nephropathy | renal fibrosis | renal | nephrotoxicity | aki | renal function | dialysis | diabetic nephropathy | fibrosis | podocyte,renal | kidney | bladder | kidney disease | renal fibrosis | nephropathy | rats | chronic kidney | fibrosis | renal function | smad | podocyte | nephrotoxicity | ckd | kidney injury,metabolomics | network pharmacology | chronic kidney disease | traditional chinese medicine | renal fibrosis | diabetic nephropathy | nephrotic syndrome | mechanism | cyclophosphamide | bladder,Spatially resolved multi-omics reveals the renal cortex-metabolic reprogramming of Shenhua Tablet for interven,Managing circadian rhythm involved in alleviating membranous nephropathy by alkaloids of Alstonia scholaris,Use of alternative medicine by patients with stage 5 chronic kidney disease.
13,97,drug delivery | bioavailability | nanocarriers | nanoparticles | transdermal | delivery carriers | solubility | vesicles | tcm | delivery | hydrogel | liposomes | nanocrystals | release | biomaterials,delivery | drug delivery | delivery systems | carriers | nanocrystals | nanoparticles | hydrogel | bioavailability | solubility | liposomes | absorption | smedds | transdermal | permeation | skin,bioavailability | drug delivery | nanoparticles | chinese medicine | drug delivery systems | solubility | traditional chinese medicine | evodiamine | nanotechnology | liposomes,Berberine-Based Heterogeneous Linear Supramolecules Neutralized the Acute Nephrotoxicity of Aristolochic Acid ,Self-emulsifying drug delivery systems for improving oral absorption of Ginkgo biloba extracts,A review on the applications of Traditional Chinese medicine polysaccharides in drug delivery systems
