tier,herb_family,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
family,Apocynaceae,synergistic_efficacy,2,0.7565011820330969,10,64,846,3.120967741935484,3.644705882352941,1.8658023977645044,0.1712546486730395,0.9530693491369154,ns
family,Paeoniaceae,P-gp_inhibition,2,0.8274231678486997,14,50,846,2.7222222222222223,3.2350515463917526,1.6937886998936076,0.19830291765001465,1.0,ns
family,Fabaceae,synergistic_efficacy,13,9.456264775413711,125,64,846,1.524859943977591,1.5623300970873786,0.643699305667687,0.20002043440023592,1.0,ns
family,Araliaceae,CYP_inhibition,14,18.609929078014183,64,246,846,0.6637931034482759,0.6798466943468541,-0.5567186400552473,0.20087683209736465,1.0,ns
family,Asteraceae,P-gp_inhibition,3,1.5957446808510638,27,50,846,2.0531914893617023,2.3233082706766917,1.216180592403185,0.2101981404377028,1.0,ns
family,Paeoniaceae,absorption_alteration,2,0.8605200945626478,14,52,846,2.6066666666666665,3.099009900990099,1.6318073641808237,0.21069162574596664,1.0,ns
family,Fabaceae,absorption_alteration,11,7.68321513002364,125,52,846,1.6003423192126658,1.6469195559530698,0.7197700881171387,0.22278820202039928,1.0,ns
family,Berberidaceae,UGT_inhibition,2,0.8936170212765957,18,42,846,2.4625,2.949869060980172,1.5606509174347944,0.22344617231710034,1.0,ns
family,Acanthaceae,UGT_inhibition,2,0.8936170212765957,18,42,846,2.4625,2.949869060980172,1.5606509174347944,0.22344617231710034,1.0,ns
family,Schisandraceae,P-gp_inhibition,5,3.0732860520094563,52,50,846,1.7706855791962175,1.9073452862926548,0.9315660380555127,0.2246227981092256,1.0,ns
family,Magnoliaceae,CYP_induction,1,3.326241134751773,21,134,846,0.26015037593984963,0.3795560427514387,-1.3976151746479308,0.22859586781867725,1.0,ns
family,Apiaceae,additive_toxicity,2,0.9243498817966903,46,17,846,2.378787878787879,2.847046031170714,1.509465818828286,0.23503708082684113,1.0,ns
family,Fabaceae,receptor_synergism,11,15.51418439716312,125,105,846,0.6436170212765957,0.6669208197592477,-0.5844126074228695,0.23883259604757934,1.0,ns
family,Araliaceae,transporter_modulation,1,3.404255319148936,64,45,846,0.2662337662337662,0.39201981774750067,-1.3510015062526182,0.24490730204356645,1.0,ns
family,Apiaceae,synergistic_efficacy,1,3.479905437352246,46,64,846,0.2599647266313933,0.38288483170372933,-1.38501758711314,0.2465919010766186,1.0,ns
family,Ginkgoaceae,synergistic_efficacy,0,1.8912529550827424,25,64,846,0.0,0.2302781577747378,-2.1185505190344363,0.24900824314639144,1.0,ns
family,Zingiberaceae,UGT_inhibition,0,1.8368794326241136,37,42,846,0.0,0.2407843137254902,-2.054186686376041,0.2509449593539788,1.0,ns
family,Hypericaceae,absorption_alteration,1,3.6264775413711585,59,52,846,0.24881676808654496,0.36669156086631816,-1.4473610310096174,0.25253854334662457,1.0,ns
family,Ranunculaceae,receptor_synergism,12,8.687943262411348,70,105,846,1.5194660734149055,1.5620000914118561,0.6433945379097435,0.2531982023821723,1.0,ns
family,Zingiberaceae,transporter_modulation,0,1.9680851063829787,37,45,846,0.0,0.22402930402930402,-2.1582406393337727,0.2541355429390406,1.0,ns
family,Ranunculaceae,transporter_modulation,6,3.723404255319149,70,45,846,1.7716346153846154,1.8815621626925718,0.911930953677301,0.25713618469636224,1.0,ns
family,Celastraceae,organ_toxicity_modulation,2,1.0047281323877069,25,34,846,2.1440217391304346,2.5842880523731586,1.3697668860415073,0.2657383370689256,1.0,ns
family,Ginkgoaceae,organ_toxicity_modulation,2,1.0047281323877069,25,34,846,2.1440217391304346,2.5842880523731586,1.3697668860415073,0.2657383370689256,1.0,ns
family,Rutaceae,transporter_modulation,2,1.0638297872340425,20,45,846,2.0232558139534884,2.4339857098477786,1.2833206978822644,0.28830390756038954,1.0,ns
family,Rutaceae,receptor_antagonism,1,0.3546099290780142,20,15,846,3.0526315789473686,4.310344827586207,2.107803289534515,0.3036543872766841,1.0,ns
family,Hypericaceae,P-gp_induction,1,0.3486997635933806,59,5,846,3.375,4.464387464387465,2.1584622441680197,0.30395779340948353,1.0,ns
family,Amaryllidaceae,signaling_pathway_modulation,1,0.3546099290780142,10,30,846,3.0919540229885056,4.322033898305085,2.1117103874970167,0.3044279326498581,1.0,ns
family,Apocynaceae,signaling_pathway_modulation,1,0.3546099290780142,10,30,846,3.0919540229885056,4.322033898305085,2.1117103874970167,0.3044279326498581,1.0,ns
family,Lamiaceae,synergistic_efficacy,10,7.33806146572104,97,64,846,1.4793529161345254,1.5313761467889908,0.6148286907117442,0.304770010683904,1.0,ns
family,Araliaceae,receptor_antagonism,2,1.1347517730496455,64,15,846,1.9081885856079404,2.28,1.189033824390017,0.31567282303784666,1.0,ns
family,Magnoliaceae,receptor_synergism,4,2.606382978723404,21,105,846,1.6866627839254513,1.8354679802955665,0.876147946869099,0.31732260603420787,1.0,ns
family,Araliaceae,receptor_synergism,5,7.943262411347518,64,105,846,0.5779661016949152,0.6277436347673397,-0.6717526000423601,0.32421742036916745,1.0,ns
family,Berberidaceae,CYP_induction,1,2.851063829787234,18,134,846,0.3073861123396727,0.4465489566613162,-1.163109743369125,0.3351369124226914,1.0,ns
family,Acanthaceae,CYP_induction,1,2.851063829787234,18,134,846,0.3073861123396727,0.4465489566613162,-1.163109743369125,0.3351369124226914,1.0,ns
family,Ginkgoaceae,receptor_synergism,1,3.102836879432624,25,105,846,0.28725961538461536,0.4203691045796309,-1.2502714539118847,0.34982989134749953,1.0,ns
