tier,herb_active_compound,mechanism,obs,expected,row_total,col_total,N_tier,OR_raw,OR_ha,log2_OR_ha,p,q,classification
compound,puerarin,signaling_pathway_modulation,1,0.4838709677419355,10,9,186,2.3333333333333335,3.130030959752322,1.6461769272090898,0.39873427691377183,1.0,ns
compound,wogonin,P-gp_inhibition,1,0.5268817204301075,7,14,186,2.128205128205128,2.8461538461538463,1.5090136474878577,0.42718026651281676,1.0,ns
compound,puerarin,synergistic_efficacy,1,0.6451612903225806,10,12,186,1.6666666666666667,2.272311212814645,1.1841604380277755,0.49551185304490264,1.0,ns
compound,curcumin,P-gp_inhibition,1,0.6774193548387096,9,14,186,1.5769230769230769,2.150326797385621,1.1045559310425896,0.5135113304826069,1.0,ns
compound,magnolol,CYP_induction,1,0.6989247311827957,5,26,186,1.56,2.045751633986928,1.0326310042399665,0.5331541835117123,1.0,ns
compound,evodiamine,receptor_synergism,1,0.7526881720430108,5,28,186,1.4259259259259258,1.8727272727272728,0.9051408136585588,0.5619650298909029,1.0,ns
compound,cryptotanshinone,receptor_synergism,1,0.7526881720430108,5,28,186,1.4259259259259258,1.8727272727272728,0.9051408136585588,0.5619650298909029,1.0,ns
compound,berberine,organ_toxicity_modulation,1,0.7741935483870968,24,6,186,1.3652173913043477,1.827852998065764,0.8701500487935004,0.5687677933968155,1.0,ns
compound,cryptotanshinone,CYP_inhibition,0,1.1559139784946237,5,43,186,0.0,0.2894461859979101,-1.7886329484368373,0.5913184642118035,1.0,ns
compound,emodin,receptor_synergism,0,0.9032258064516129,6,28,186,0.0,0.4116059379217274,-1.2806642998555853,0.5934261050921089,1.0,ns
compound,astragaloside IV,receptor_synergism,0,0.9032258064516129,6,28,186,0.0,0.4116059379217274,-1.2806642998555853,0.5934261050921089,1.0,ns
compound,wogonin,CYP_induction,0,0.978494623655914,7,26,186,0.0,0.38616352201257864,-1.3727162048015382,0.5957728519602639,1.0,ns
compound,wogonin,receptor_synergism,0,1.053763440860215,7,28,186,0.0,0.3543859649122807,-1.4966066263003093,0.5968142208830081,1.0,ns
compound,glycyrrhetinic acid,receptor_synergism,0,1.053763440860215,7,28,186,0.0,0.3543859649122807,-1.4966066263003093,0.5968142208830081,1.0,ns
compound,glycyrrhizic acid,CYP_induction,0,0.8387096774193549,6,26,186,0.0,0.44847605224963716,-1.1568971447999168,0.5976356498774978,1.0,ns
