4	27	16
59	64	16
36	55	16
45	61	16
22	55	16
43	58	16
46	95	15
10	36	15
33	36	15
36	83	15
25	63	15
8	52	15
10	83	15
31	67	15
9	36	15
11	52	15
36	78	15
27	50	15
36	66	15
61	81	15
66	94	15
36	73	15
14	36	15
22	95	15
30	80	15
55	69	15
36	97	15
18	76	15
14	68	15
35	92	15
35	36	15
10	80	15
27	85	15
38	57	15
5	68	15
28	36	15
36	85	15
43	85	15
24	35	15
43	55	15
3	10	15
2	27	15
59	97	15
66	72	15
3	95	15
25	89	14
29	52	14
26	84	14
16	83	14
4	52	14
63	75	14
31	90	14
32	91	14
14	21	14
9	14	14
36	53	14
14	20	14
5	20	14
36	86	14
1	36	14
44	87	14
88	99	14
50	80	14
65	69	14
85	99	14
53	80	14
44	66	14
80	87	14
27	79	14
19	90	14
22	27	14
48	59	14
61	66	14
41	80	14
24	42	14
3	24	14
3	66	14
57	66	14
9	43	14
19	93	14
27	69	14
2	59	14
28	45	14
27	99	14
38	42	14
33	91	13
36	84	13
37	52	13
42	63	13
25	64	13
37	63	13
36	75	13
9	58	13
95	98	13
8	83	13
4	11	13
81	94	13
20	36	13
30	52	13
20	86	13
50	52	13
27	100	13
50	66	13
12	24	13
12	35	13
22	43	13
48	61	13
31	76	13
19	80	13
43	44	13
5	93	13
76	87	13
61	86	13
57	68	13
18	80	13
43	67	13
55	60	13
10	43	13
14	17	13
23	76	13
12	85	13
17	77	13
63	66	13
58	66	13
9	82	12
26	67	12
33	82	12
26	64	12
23	37	12
31	83	12
9	83	12
25	33	12
64	89	12
66	81	12
6	74	12
44	61	12
12	97	12
11	76	12
1	27	12
76	94	12
61	100	12
38	98	12
14	44	12
5	13	12
61	94	12
35	53	12
20	61	12
27	65	12
40	57	12
12	43	12
57	63	12
60	95	12
53	92	12
66	97	12
27	46	12
40	42	12
51	76	12
59	81	12
43	94	12
43	100	12
38	92	12
59	65	12
51	57	12
34	61	12
68	78	12
47	59	12
3	76	12
55	76	12
66	68	12
12	92	12
42	54	12
42	43	12
42	68	12
42	76	12
3	17	12
17	72	12
50	94	12
13	17	12
36	38	12
38	68	12
37	46	11
52	89	11
4	36	11
11	36	11
6	95	11
32	82	11
31	86	11
9	10	11
37	70	11
14	73	11
58	80	11
49	80	11
20	31	11
14	31	11
18	61	11
27	87	11
18	36	11
27	62	11
59	94	11
13	61	11
61	97	11
13	14	11
11	27	11
69	85	11
95	99	11
52	62	11
36	60	11
61	73	11
13	93	11
14	43	11
24	63	11
68	100	11
92	97	11
43	90	11
5	48	11
56	92	11
34	41	11
34	43	11
24	28	11
3	80	11
42	92	11
51	68	11
46	59	11
59	87	11
11	59	11
17	43	11
68	90	11
59	75	11
5	76	11
5	34	11
43	78	11
24	54	11
13	52	11
42	64	11
59	69	11
59	98	11
61	98	11
10	77	11
76	85	11
55	88	11
14	92	11
36	56	11
27	60	11
55	61	11
58	59	11
12	69	11
4	76	11
38	47	11
38	61	11
28	61	11
59	85	11
10	66	11
42	97	11
58	77	11
13	76	11
66	75	11
33	67	10
26	36	10
44	89	10
63	64	10
32	83	10
32	63	10
15	32	10
37	58	10
15	74	10
66	71	10
7	74	10
5	96	10
61	90	10
66	70	10
27	53	10
72	73	10
1	43	10
1	61	10
36	41	10
30	95	10
61	63	10
74	75	10
90	94	10
74	77	10
43	54	10
12	38	10
38	97	10
21	92	10
68	79	10
19	21	10
45	97	10
22	36	10
1	66	10
13	19	10
40	92	10
5	35	10
35	51	10
34	59	10
27	78	10
2	43	10
1	59	10
22	59	10
11	43	10
22	61	10
19	43	10
31	51	10
5	53	10
9	59	10
19	96	10
44	55	10
10	57	10
92	94	10
18	92	10
12	68	10
52	58	10
35	47	10
52	65	10
2	36	10
24	68	10
63	94	10
28	97	10
38	66	10
43	46	10
35	66	10
61	85	10
17	24	10
38	44	10
2	55	10
75	81	10
36	46	9
4	83	9
26	82	9
82	90	9
36	87	9
87	95	9
26	33	9
84	95	9
89	91	9
4	67	9
64	98	9
36	96	9
8	82	9
10	44	9
64	65	9
16	74	9
39	95	9
14	94	9
10	18	9
36	81	9
78	81	9
29	92	9
31	94	9
9	27	9
31	35	9
38	100	9
14	93	9
54	98	9
7	80	9
11	61	9
10	93	9
13	18	9
61	99	9
67	80	9
27	71	9
7	75	9
14	66	9
58	68	9
21	68	9
76	100	9
5	45	9
41	43	9
28	43	9
43	53	9
5	51	9
51	54	9
34	76	9
68	97	9
35	72	9
42	51	9
43	79	9
43	65	9
12	56	9
35	57	9
19	20	9
2	66	9
44	48	9
56	61	9
12	44	9
51	52	9
57	64	9
42	66	9
76	77	9
56	66	9
36	93	9
42	44	9
27	90	9
79	80	9
2	35	9
24	55	9
24	66	9
59	77	9
28	98	9
69	76	9
68	73	9
38	60	9
2	76	9
44	97	9
76	98	9
75	76	9
24	51	9
35	55	9
27	93	9
17	42	9
52	88	9
3	58	9
31	100	8
82	89	8
8	33	8
25	67	8
15	82	8
33	64	8
16	67	8
10	82	8
67	100	8
9	67	8
6	75	8
63	98	8
11	15	8
10	11	8
65	70	8
4	10	8
74	91	8
21	90	8
7	95	8
49	70	8
29	36	8
36	50	8
20	53	8
31	53	8
18	73	8
18	20	8
50	63	8
18	19	8
56	57	8
27	73	8
61	67	8
14	23	8
12	99	8
21	31	8
36	79	8
67	94	8
12	79	8
67	68	8
18	27	8
14	38	8
14	86	8
52	71	8
44	94	8
5	100	8
68	72	8
31	45	8
22	92	8
28	53	8
43	97	8
